0.5 2.0
b1 100 70
b2 30 20
b3 40 60
b4 100 80
b5 10 20
b6 70 60
b7 80 90
b8 80 90
b9 90 110
b10 20 40
b11 20 20
b12 70 100
b13 100 110
b14 40 30
b15 90 20
b16 10 30
b17 100 70
b18 20 10
b19 20 30
b20 10 40
b21 30 40
b22 30 80
b23 80 60
b24 40 30
b25 100 110
b26 70 40
b27 80 110
b28 60 80
b29 90 70
b30 80 110
b31 50 60
b32 30 20
b33 30 100
b34 10 30
b35 30 20
b36 20 50
b37 50 20
b38 30 60
b39 30 20
b40 80 70
b41 10 40
b42 80 50
b43 10 40
b44 100 70
b45 20 10
b46 70 100
b47 60 40
b48 90 80
b49 70 10
b50 80 10
b51 10 20
b52 100 30
b53 40 50
b54 40 20
b55 60 80
b56 10 50
b57 50 30
b58 20 70
b59 80 90
b60 50 30
b61 20 40
b62 70 30
b63 30 60
b64 40 50
b65 20 50
b66 40 70
b67 70 10
b68 20 30
b69 40 30
b70 80 60
b71 50 30
b72 80 30
b73 100 90
b74 30 60
b75 50 80
b76 50 40
b77 10 50
b78 60 80
b79 90 30
b80 50 60
b81 60 30
b82 100 90
b83 60 40
b84 40 20
b85 10 20
b86 10 30
b87 80 50
b88 90 120
b89 20 50
b90 100 130
b91 50 60
b92 50 60
b93 50 40
b94 50 60
b95 60 50
b96 40 70
b97 40 70
b98 100 40
b99 90 60
b100 40 50
b101 10 10
b102 70 50
b103 60 80
b104 80 80
b105 40 60
b106 80 50
b107 40 10
b108 100 120
b109 80 90
b110 70 80
b111 40 70
b112 10 40
b113 80 50
b114 70 100
b115 30 10
b116 60 90
b117 40 30
b118 40 50
b119 80 110
b120 100 50
b121 70 90
b122 40 20
b123 20 50
b124 20 10
b125 100 80
b126 20 40
b127 80 60
b128 90 60
b129 70 90
b130 50 10
b131 50 60
b132 30 100
b133 100 80
b134 60 70
b135 100 80
b136 90 80
b137 10 30
b138 50 60
b139 70 40
b140 90 70
b141 90 90
b142 80 90
b143 40 60
b144 50 80
b145 40 50
b146 80 90
b147 40 20
b148 80 100
b149 10 40
b150 80 70
b151 80 50
b152 50 30
b153 40 10
b154 60 90
b155 10 20
b156 40 10
b157 60 90
b158 30 20
b159 90 100
b160 50 50
b161 30 20
b162 30 50
b163 80 60
b164 90 80
b165 80 70
b166 40 30
b167 50 80
b168 40 70
b169 40 60
b170 40 20
b171 60 80
b172 90 60
b173 50 40
b174 30 20
b175 30 20
b176 50 50
b177 80 70
b178 10 70
b179 50 40
b180 30 80
b181 20 70
b182 10 40
b183 20 30
b184 80 30
b185 50 30
b186 50 90
b187 70 40
b188 50 20
b189 90 10
b190 60 40
b191 80 60
b192 80 100
b193 80 90
b194 70 50
b195 20 40
b196 60 30
b197 50 20
b198 30 50
b199 90 100
b200 10 50
b201 90 70
b202 90 60
b203 20 10
b204 10 10
b205 20 30
b206 100 70
b207 40 90
b208 50 60
b209 40 70
b210 30 20
b211 80 70
b212 60 90
b213 50 80
b214 60 50
b215 60 50
b216 60 40
b217 70 100
b218 50 70
b219 50 30
b220 30 30
b221 80 20
b222 40 70
b223 50 20
b224 60 60
b225 20 10
b226 30 30
b227 10 40
b228 30 50
b229 70 40
b230 40 10
b231 100 80
b232 70 100
b233 30 60
b234 70 70
b235 10 30
b236 50 70
b237 10 80
b238 30 80
b239 30 20
b240 20 50
b241 60 30
b242 30 50
b243 70 90
b244 70 50
b245 100 80
b246 50 10
b247 40 70
b248 70 50
b249 10 30
b250 80 100
b251 90 80
b252 20 70
b253 30 60
b254 70 50
b255 90 60
b256 50 70
b257 40 10
b258 80 110
b259 70 80
b260 20 50
b261 60 40
b262 90 50
b263 100 40
b264 90 90
b265 80 90
b266 50 60
b267 90 110
b268 10 30
b269 20 30
b270 20 40
b271 10 20
b272 30 60
b273 70 60
b274 90 30
b275 70 80
b276 10 60
b277 50 80
b278 70 60
b279 70 30
b280 30 20
b281 30 50
b282 20 70
b283 100 130
b284 20 50
b285 50 80
b286 90 20
b287 80 50
b288 10 60
b289 20 10
b290 100 80
b291 60 50
b292 40 50
b293 100 20
b294 90 60
b295 50 80
b296 90 120
b297 40 20
b298 90 100
b299 60 40
b300 30 20
